# t (s)	mx ()	my ()	mz ()	m.region1x ()	m.region1y ()	m.region1z ()	m.region2x ()	m.region2y ()	m.region2z ()
4.100018205016098e-09	0.532974	0.6807527	0.22705448	0.5383404	0.6751502	0.23353228	0.5276077	0.6863553	0.22057669
4.10168616345944e-09	0.56706536	0.64574087	0.2474906	0.5744848	0.6383466	0.25212	0.5596459	0.65313506	0.24286118
4.1025027031531495e-09	0.58599484	0.62857383	0.25362715	0.59424675	0.6205177	0.25713423	0.57774305	0.63663006	0.25012013
4.103307343905294e-09	0.6054623	0.611929	0.2571141	0.61438453	0.6033826	0.25940055	0.5965401	0.6204754	0.2548277
4.1041082419291786e-09	0.6251925	0.59580356	0.25805488	0.63460714	0.58694243	0.25903678	0.61577785	0.60466474	0.257073
4.10572053771698e-09	0.664203	0.56531346	0.25246072	0.6739847	0.5563873	0.25065768	0.6544212	0.57423973	0.2542638
4.106546318491775e-09	0.68290585	0.5510326	0.24591689	0.69251674	0.54238605	0.24267259	0.67329484	0.5596793	0.24916117
4.107374987475083e-09	0.7001998	0.5378202	0.2370553	0.7093838	0.5296749	0.23240654	0.6910159	0.5459658	0.24170403
4.108200780239356e-09	0.715542	0.52592397	0.2261478	0.7240496	0.5184958	0.2201829	0.7070344	0.5333522	0.23211272
4.109035086762219e-09	0.72874576	0.51535416	0.21327169	0.7363305	0.5088607	0.20610282	0.721161	0.5218475	0.22044055
4.1106580805966e-09	0.7467401	0.4996101	0.1839681	0.7519391	0.49545962	0.17495584	0.7415412	0.5037606	0.19298033
4.111461429679059e-09	0.7515909	0.4944922	0.16797629	0.7553848	0.4917038	0.15834853	0.747797	0.49728054	0.1776041
4.1122728524941365e-09	0.7537384	0.4913214	0.15125673	0.75601304	0.4900024	0.14123334	0.7514636	0.49264044	0.16128013
4.113105770038082e-09	0.75318515	0.49028245	0.1338624	0.7538405	0.49053264	0.12368311	0.7525299	0.49003226	0.1440417
4.114776732544262e-09	0.74464756	0.49526596	0.099752404	0.7420654	0.4986898	0.090045996	0.7472297	0.49184212	0.10945882
4.115603366321381e-09	0.7374332	0.501232	0.08396984	0.7333524	0.5061598	0.074874	0.741514	0.49630436	0.09306568
4.116435127527337e-09	0.7286905	0.50948834	0.06924485	0.7232312	0.51583695	0.060992308	0.73415005	0.5031397	0.077497385
4.117268718296801e-09	0.718827	0.5198984	0.05592841	0.7121536	0.5275476	0.048724607	0.7255005	0.5122493	0.063132204
4.118097274574484e-09	0.70829165	0.532186	0.0443594	0.7006056	0.54097986	0.038368687	0.7159776	0.5233921	0.050350107
4.119768177557419e-09	0.6860344	0.56192005	0.026834186	0.67695296	0.57248354	0.023672516	0.69511586	0.55135655	0.029995862
4.120622954346152e-09	0.67457235	0.5791108	0.021143919	0.66511667	0.5902556	0.019557104	0.6840281	0.567966	0.02273073
4.121486676756937e-09	0.6631017	0.597368	0.017757926	0.6534935	0.60884655	0.01780199	0.6727098	0.5858895	0.017713863
4.122329630056789e-09	0.6520294	0.6156342	0.016776532	0.6424821	0.62717235	0.018415635	0.66157687	0.60409606	0.015137427
4.123157806955898e-09	0.6412262	0.63355935	0.018045738	0.6319319	0.6448866	0.02122258	0.65052044	0.622232	0.014868897
4.124791692448189e-09	0.6199145	0.6668571	0.02688297	0.6116589	0.6769675	0.03289049	0.62817013	0.65674675	0.020875458
4.125615602454107e-09	0.6091594	0.68150526	0.03435096	0.6016904	0.69060814	0.04162742	0.61662847	0.6724022	0.027074516
4.126475628400286e-09	0.59806496	0.6944734	0.044079877	0.5915974	0.70226353	0.052528095	0.60453254	0.6866831	0.035631657
4.127341680294412e-09	0.58727753	0.704604	0.055611365	0.5819932	0.71083057	0.065051295	0.5925619	0.69837755	0.04617145
4.1281987410768035e-09	0.5773265	0.7113562	0.06840672	0.5733672	0.71583486	0.07861324	0.58128583	0.7068776	0.058200203
4.129059621027692e-09	0.56845653	0.7146768	0.08225958	0.5659559	0.71724766	0.0929959	0.5709573	0.7121059	0.07152326
4.130711865340447e-09	0.55601895	0.71161175	0.110124245	0.5565492	0.7103078	0.12113859	0.55548877	0.7129158	0.09910989
4.131515335669606e-09	0.55268097	0.7061571	0.12357311	0.5547283	0.7029751	0.13435623	0.5506337	0.7093392	0.11279
4.132313052862622e-09	0.5513259	0.698685	0.1364493	0.55486476	0.6937109	0.1467648	0.5477872	0.7036592	0.12613381
4.1331098137500454e-09	0.55196404	0.689624	0.14858109	0.5569486	0.68298024	0.15819813	0.5469796	0.6962678	0.13896406
4.1347422124929965e-09	0.55927604	0.6680096	0.17032678	0.5669732	0.65850604	0.17783782	0.5515789	0.67751306	0.16281575
4.1355872898284575e-09	0.5659586	0.6561805	0.17962688	0.57487214	0.64557856	0.1857319	0.5570451	0.6667824	0.17352186
4.136411101188841e-09	0.57412326	0.6447759	0.18727782	0.5840625	0.63339746	0.19184312	0.564184	0.6561543	0.18271253
4.137225855363703e-09	0.5835813	0.6339229	0.19342121	0.5943527	0.6220809	0.19633555	0.57281005	0.6457648	0.19050685
4.1380438021998756e-09	0.5942197	0.6236682	0.19814058	0.6056169	0.61167204	0.19930995	0.5828223	0.6356644	0.19697118
4.139710043743852e-09	0.6182946	0.605247	0.20325983	0.6302117	0.593874	0.20078535	0.60637754	0.61662006	0.20573433
4.140547463302447e-09	0.6309539	0.5973111	0.20360298	0.6427038	0.5866926	0.1993464	0.61920404	0.6079296	0.20785959
4.141390430667754e-09	0.6435834	0.5901722	0.202517	0.6548561	0.58058023	0.19656333	0.6323108	0.5997641	0.20847073
4.142216491327932e-09	0.6554766	0.5839208	0.20014915	0.66597867	0.5755675	0.19267143	0.6449746	0.59227407	0.20762682
4.143020404062189e-09	0.66625226	0.57844156	0.19671145	0.6757252	0.57148474	0.18792222	0.65677917	0.5853985	0.20550069
4.1446016739628736e-09	0.684023	0.56898415	0.187135	0.69075024	0.5651884	0.17638502	0.6772958	0.57277995	0.19788498
4.1453986868707e-09	0.69081396	0.5647046	0.18111977	0.6958563	0.5626338	0.16973996	0.68577176	0.56677544	0.1924996
4.1462132641183e-09	0.69605124	0.56060326	0.17430165	0.6992184	0.56033105	0.16254827	0.69288415	0.56087536	0.18605499
4.147052996480146e-09	0.69958603	0.5566753	0.16668567	0.70071197	0.5582508	0.15484288	0.69846	0.55509984	0.17852846
4.14875405112236e-09	0.70118034	0.5499776	0.14996971	0.6981002	0.55509925	0.1388719	0.7042604	0.54485595	0.16106752
4.149599438108885e-09	0.6995641	0.5475377	0.14130625	0.6945047	0.5542458	0.1310216	0.7046236	0.5408296	0.15159091
4.150447466474945e-09	0.69672114	0.5458868	0.13257375	0.6898506	0.5540278	0.12337126	0.70359176	0.5377458	0.14177626
4.1513088472237125e-09	0.69295156	0.5451814	0.12380557	0.68449146	0.5545944	0.11594085	0.7014117	0.53576845	0.13167031
4.152165331973887e-09	0.68871194	0.5455922	0.11532245	0.67898	0.5560739	0.108984806	0.69844383	0.53511053	0.12166009
4.1530093815548366e-09	0.6844137	0.5472008	0.10730861	0.67376953	0.55853677	0.102624	0.6950578	0.5358648	0.11199321
4.154676307275404e-09	0.67666113	0.55422115	0.09288433	0.6652645	0.56663346	0.09172322	0.6880577	0.54180896	0.094045445
4.155495848743363e-09	0.67352384	0.5596243	0.08664578	0.6622489	0.5722449	0.08726008	0.68479866	0.54700375	0.08603147
4.156306839690065e-09	0.67090327	0.5662216	0.081127524	0.66003203	0.5788199	0.08347454	0.6817744	0.5536233	0.07878051
4.15711359457362e-09	0.668692	0.5739452	0.07635689	0.65846425	0.5862803	0.080367625	0.6789197	0.5616101	0.072346166
4.158704349050405e-09	0.66481125	0.59198755	0.06933626	0.6564015	0.6030533	0.07632874	0.67322075	0.5809219	0.062343787
4.1594978542345205e-09	0.6626712	0.60192865	0.06716032	0.65536803	0.61197716	0.07544041	0.66997445	0.59188026	0.05888021
4.160299687096905e-09	0.660062	0.61218727	0.06594411	0.6539713	0.62094957	0.07536113	0.6661528	0.6034251	0.05652709
4.161112045210737e-09	0.65676594	0.62239665	0.065762475	0.6519772	0.629601	0.07614288	0.6615547	0.6151923	0.055382073
4.162750909315388e-09	0.6477083	0.64065844	0.06861283	0.6457038	0.64403206	0.08027758	0.64971274	0.63728476	0.056948077
4.163558485575971e-09	0.6420985	0.6477127	0.0714893	0.6415177	0.64894015	0.08342406	0.64267915	0.64648527	0.05955453
4.164371422417909e-09	0.6358659	0.6531271	0.07522448	0.63673717	0.6520995	0.08716806	0.6349946	0.65415466	0.063280895
4.165166377897282e-09	0.62941647	0.65665406	0.079557285	0.631714	0.6534006	0.09124581	0.627119	0.65990746	0.067868754
4.166733978208303e-09	0.61663735	0.65860313	0.08953673	0.62171304	0.65119654	0.099958956	0.6115618	0.6660097	0.07911448
4.167521934330482e-09	0.61067235	0.65739787	0.09502467	0.61709523	0.6481663	0.1044446	0.6042496	0.66662943	0.085604735
4.168324041069782e-09	0.6052199	0.6550258	0.10078587	0.6129529	0.6442048	0.10895612	0.597487	0.6658467	0.092615604
4.16914884622651e-09	0.6004626	0.65173125	0.10679071	0.6094514	0.63961446	0.1134605	0.59147394	0.6638481	0.10012092
4.170845107015641e-09	0.59398365	0.6438239	0.11902057	0.60512555	0.63028234	0.12206898	0.58284175	0.65736544	0.11597216
4.171683993416726e-09	0.5925863	0.6400923	0.12486331	0.6045038	0.62649715	0.12594774	0.5806687	0.6536876	0.123778895
4.172521266162489e-09	0.59240854	0.6368829	0.13049342	0.60485816	0.62365395	0.12957375	0.5799589	0.650112	0.13141307
4.173361942102056e-09	0.5934169	0.6343705	0.13591592	0.6061204	0.62190133	0.1329954	0.5807134	0.64683974	0.13883643
4.1742081193703515e-09	0.5955569	0.63265234	0.14112523	0.6081991	0.62129974	0.13625793	0.58291465	0.6440049	0.14599252
4.175048600771334e-09	0.59868884	0.6317352	0.14604631	0.61093026	0.6217869	0.13936509	0.58644736	0.6416834	0.15272756
4.176712971708167e-09	0.60726637	0.63168454	0.15504877	0.61767155	0.6251516	0.1453179	0.59686124	0.6382176	0.1647797
4.177533678199039e-09	0.61231625	0.6320532	0.15912521	0.6213211	0.6273993	0.14823815	0.6033115	0.636707	0.17001222
4.1783532633532e-09	0.61765146	0.6322853	0.16294417	0.6249676	0.62956345	0.15117618	0.6103354	0.6350073	0.17471215
4.179160411135712e-09	0.6230053	0.6320747	0.16643041	0.6284193	0.63126004	0.1540846	0.61759126	0.6328895	0.17877625
4.180770661224225e-09	0.63328934	0.62928754	0.17236193	0.63442945	0.6321238	0.15976343	0.6321491	0.62645125	0.18496045
4.181585389290727e-09	0.63798726	0.62628686	0.17469859	0.6368569	0.63082486	0.16242681	0.6391176	0.62174875	0.18697038
4.182408948956604e-09	0.642236	0.6220389	0.17649584	0.63883656	0.6281645	0.16484965	0.6456354	0.6159133	0.18814203
4.183234808487604e-09	0.6459315	0.6165682	0.17764722	0.64036125	0.62413514	0.16690673	0.65150183	0.6090013	0.1883877
4.184064432133753e-09	0.64907277	0.6099521	0.17807628	0.64150476	0.61880356	0.16850023	0.65664077	0.6011007	0.1876523
4.185720734920226e-09	0.6539548	0.5941373	0.17652407	0.6432278	0.60503626	0.16990677	0.6646818	0.58323824	0.18314137
4.186537453200534e-09	0.65598655	0.5855648	0.17449015	0.64421904	0.5972103	0.16956984	0.66775393	0.5739194	0.17941047
4.187355731956328e-09	0.6580473	0.5768657	0.17157064	0.64562726	0.58907676	0.16845545	0.6704674	0.56465447	0.17468587
4.1881804495058e-09	0.6603805	0.56832767	0.16771927	0.6477094	0.58091515	0.16648689	0.6730515	0.5557402	0.16895165
4.189015417257362e-09	0.6632279	0.560284	0.16289124	0.6507098	0.5730415	0.16358492	0.67574596	0.54752654	0.16219755
4.190663200011062e-09	0.6709088	0.5475909	0.1507307	0.65976477	0.56000113	0.15510795	0.68205297	0.5351807	0.14635345
4.191487314160568e-09	0.67587745	0.5434574	0.14345665	0.66585493	0.5553254	0.14953545	0.6859001	0.5315895	0.13737783
4.192302388162414e-09	0.6814151	0.5411496	0.13560745	0.6727086	0.5522255	0.14322881	0.6901216	0.53007376	0.12798607
4.193120731313415e-09	0.6873633	0.5407666	0.127207	0.68012464	0.55078745	0.136206	0.69460195	0.53074586	0.118207976
4.1947852596926905e-09	0.69913685	0.54608136	0.109228194	0.6951061	0.5531661	0.12039592	0.70316756	0.5389966	0.09806049
4.195621305600901e-09	0.7039201	0.5515877	0.10016437	0.701517	0.55682206	0.11205816	0.7063233	0.54635346	0.08827057
4.1964460805320345e-09	0.70723015	0.55851924	0.09148791	0.7063993	0.5617106	0.10383679	0.7080609	0.5553278	0.07913904
4.19724836047681e-09	0.7086869	0.56632185	0.083496556	0.70933765	0.567352	0.09602498	0.7080361	0.5652916	0.070968136
4.1980405758817504e-09	0.7081135	0.57465166	0.076210424	0.71017534	0.57342416	0.088649966	0.7060517	0.57587916	0.063770875
4.1996224395772786e-09	0.70042866	0.59156394	0.06402801	0.7051599	0.585707	0.07547163	0.6956974	0.5974209	0.052584402
4.200423532121065e-09	0.6932878	0.599578	0.059293963	0.6993017	0.59147197	0.06981848	0.6872739	0.6076841	0.048769437
4.201228766728649e-09	0.6841909	0.6069287	0.055627845	0.69144577	0.5967463	0.06496202	0.67693603	0.61711115	0.046293672
4.2020357567367136e-09	0.67350066	0.6134719	0.053114273	0.6819411	0.6014854	0.061010055	0.6650602	0.6254586	0.045218486
4.203679439955892e-09	0.64868575	0.6243879	0.05171748	0.65927804	0.6099094	0.05606529	0.6380934	0.6388663	0.047369666
4.204511944734984e-09	0.6355582	0.6290315	0.052920602	0.647043	0.61401576	0.055249035	0.6240733	0.64404714	0.050592173
4.205357276322509e-09	0.6224988	0.63351226	0.05542773	0.6347003	0.61848867	0.055628628	0.6102972	0.64853585	0.05522684
4.2062212875710744e-09	0.6098788	0.63818127	0.059290916	0.6225692	0.6237023	0.05730177	0.5971883	0.6526601	0.061280064
4.207078016353364e-09	0.59846	0.6431967	0.06437759	0.6113465	0.629773	0.060266636	0.5855735	0.65662056	0.068488546
4.208777671410411e-09	0.5800518	0.6549698	0.07799773	0.59232455	0.6448938	0.07006793	0.56777894	0.6650458	0.08592753
4.209624824461753e-09	0.57328826	0.6617471	0.086443275	0.5847084	0.6537902	0.07691326	0.5618681	0.669704	0.09597329
4.210475527033215e-09	0.5681995	0.6689164	0.09595195	0.5783897	0.6632587	0.08508004	0.55800927	0.674574	0.10682386
4.211325490077038e-09	0.56481826	0.6760865	0.10639356	0.5734223	0.6727992	0.09448198	0.55621415	0.6793736	0.11830513
4.2121695269926986e-09	0.5631038	0.6827571	0.11757507	0.5698147	0.68180686	0.10495428	0.55639297	0.68370736	0.13019587
4.2130028150095466e-09	0.56294644	0.6884008	0.12925586	0.56752884	0.6896666	0.116265476	0.5583642	0.6871349	0.14224626
4.214660823886321e-09	0.5667747	0.69486773	0.15360288	0.56662595	0.7000654	0.14086236	0.56692344	0.68966997	0.16634342
4.215496272850004e-09	0.5705439	0.6948508	0.1659424	0.56792176	0.7017275	0.15380663	0.57316583	0.6879741	0.17807817
4.216339986565785e-09	0.575407	0.6921664	0.17807466	0.57034445	0.70051825	0.16685043	0.5804696	0.6838146	0.1892989
4.217184288800788e-09	0.58118	0.6866214	0.1895754	0.57382286	0.6962313	0.17953983	0.5885371	0.6770115	0.19961095
4.21802059561252e-09	0.58764434	0.6782816	0.20002694	0.5782452	0.6889324	0.1914113	0.59704345	0.6676308	0.20864257
4.21964263680638e-09	0.60186416	0.65460855	0.21652333	0.58943975	0.6667354	0.21121967	0.6142887	0.6424817	0.221827
4.2204288099114966e-09	0.60943764	0.6401424	0.22225781	0.59609663	0.652738	0.21875599	0.6227787	0.6275468	0.22575963
4.2212101665671e-09	0.6173957	0.6243483	0.22624359	0.6035449	0.6372485	0.22461168	0.6312463	0.61144817	0.22787552
4.2227750801222695e-09	0.6347958	0.5903723	0.22857265	0.62116694	0.603359	0.23076467	0.64842474	0.5773858	0.22638059
4.223559224875517e-09	0.6443725	0.5731946	0.22674906	0.63145244	0.58593094	0.23081239	0.6572925	0.5604582	0.22268574
4.224351993161753e-09	0.6547076	0.5564176	0.22284357	0.64286184	0.56867826	0.22871022	0.6665534	0.544157	0.21697693
4.225160394352966e-09	0.66593075	0.5404314	0.21675715	0.65549237	0.5519604	0.22432797	0.6763691	0.5289024	0.20918632
4.226823256836321e-09	0.6908337	0.5130582	0.19793695	0.6839751	0.52226335	0.20842299	0.6976924	0.5038531	0.18745089
4.2276526783049335e-09	0.70373964	0.5029954	0.1856993	0.698848	0.510634	0.19727513	0.7086312	0.49535674	0.17412345
4.228488690037495e-09	0.7166018	0.4956885	0.17174713	0.713712	0.50149494	0.18414125	0.7194918	0.48988208	0.15935302
4.229326913481235e-09	0.72886616	0.4914155	0.1564191	0.7279373	0.49516	0.16933304	0.7297949	0.487671	0.14350517
4.230172035642392e-09	0.7400178	0.49028844	0.13994896	0.74096864	0.4917683	0.15307012	0.7390668	0.48880857	0.12682779
4.231014747994075e-09	0.74930555	0.49230903	0.122889504	0.7519996	0.49139842	0.13589445	0.7466115	0.4932196	0.10988458
4.232692630443645e-09	0.75996315	0.504916	0.088661864	0.7656895	0.4991178	0.10048199	0.75423676	0.5107142	0.076841734
4.233524844347916e-09	0.7603988	0.5147482	0.07238383	0.76742303	0.5066169	0.08316508	0.75337464	0.52287954	0.06160257
4.234357425478908e-09	0.75720286	0.5263784	0.057096966	0.7654091	0.51608706	0.0665641	0.7489966	0.5366698	0.04762983
4.235197775506836e-09	0.7502219	0.53944	0.04305286	0.75951946	0.527235	0.050942313	0.7409244	0.5516449	0.035163395
4.23604560576611e-09	0.7395075	0.55347	0.030630037	0.74981177	0.53969467	0.03670676	0.7292033	0.5672455	0.024553314
4.237739221298045e-09	0.7087301	0.5824271	0.012126079	0.72073054	0.5668996	0.014089974	0.6967298	0.5979546	0.010162185
4.238594306576531e-09	0.68969524	0.5969759	0.0063598575	0.70233464	0.58136815	0.0061018546	0.6770558	0.61258364	0.0066178627
4.239459391517183e-09	0.669057	0.6114866	0.003128934	0.6821301	0.5963706	0.000603896	0.65598404	0.62660253	0.0056539765
4.240305947508269e-09	0.64826494	0.62548953	0.002557471	0.6614976	0.6113921	-0.0021419222	0.6350323	0.639587	0.007256867
4.241135543741376e-09	0.6279785	0.63907325	0.0044962373	0.64106	0.6264424	-0.002231152	0.61489695	0.65170413	0.011223626
4.242797647525891e-09	0.5897843	0.6660258	0.0156937	0.601485	0.65743804	0.0054379595	0.57808375	0.67461365	0.025949443
4.243637880429584e-09	0.5725972	0.6794557	0.02491439	0.5830143	0.6732876	0.013251351	0.56218004	0.6856238	0.036577426
4.244481370395855e-09	0.5572253	0.69261485	0.036413513	0.56597084	0.6889916	0.023650227	0.5484797	0.6962379	0.049176794
4.245323954223746e-09	0.5440016	0.70516074	0.04997427	0.5507342	0.70409334	0.03645518	0.5372689	0.70622814	0.063493356
4.2461738330662e-09	0.5330184	0.71682656	0.06553613	0.5374361	0.7182579	0.05162095	0.5286007	0.7153951	0.07945131
4.247010183368587e-09	0.52466494	0.7268879	0.08243753	0.5266043	0.73062694	0.068498015	0.52272564	0.7231488	0.09637706
4.2486441851068716e-09	0.5157151	0.74065125	0.118790425	0.51258326	0.7482849	0.10582421	0.5188469	0.73301756	0.13175663
4.249453384906301e-09	0.5149532	0.7437347	0.13773666	0.50937283	0.75295305	0.12572111	0.52053356	0.73451644	0.14975221
4.2502611503198514e-09	0.5165812	0.7438861	0.15677185	0.50870997	0.75445306	0.14598474	0.52445257	0.7333194	0.16755898
4.251072564378347e-09	0.5205338	0.7408556	0.17561945	0.51059276	0.752547	0.16631904	0.5304748	0.72916424	0.18491986
4.252745649927511e-09	0.5354206	0.7241045	0.21190052	0.52222884	0.73741204	0.206319	0.5486125	0.71079683	0.21748206
4.253595041374258e-09	0.54604673	0.7103072	0.22811227	0.531844	0.7240783	0.22466433	0.56024945	0.69653606	0.23156023
4.254448221843078e-09	0.5584806	0.69319284	0.24232861	0.5437466	0.70718294	0.24111745	0.5732146	0.67920274	0.24353974
4.255283554441182e-09	0.572117	0.6736958	0.25386256	0.5573453	0.68765175	0.25487372	0.5868887	0.6597398	0.2528513
4.2561118959566215e-09	0.5868328	0.652208	0.26265258	0.5724872	0.66587543	0.26584065	0.60117847	0.6385405	0.2594645
4.257766968031089e-09	0.61893976	0.60529524	0.27139127	0.60670334	0.617576	0.27862227	0.6311761	0.59301436	0.2641603
4.258592965233154e-09	0.6359323	0.5812012	0.2710729	0.625275	0.5923692	0.28006375	0.6465897	0.570033	0.26208204
4.259422369002597e-09	0.6534139	0.55742234	0.26755434	0.6446087	0.5671926	0.27807823	0.662219	0.5476521	0.25703052
4.260262868794131e-09	0.6713809	0.5343892	0.26076007	0.66465175	0.5424708	0.27256018	0.67811	0.5263076	0.24895993
4.261110347368815e-09	0.6895515	0.5128673	0.25073087	0.68504274	0.51899695	0.26350516	0.69406015	0.50673765	0.2379566
4.262797547075493e-09	0.7248591	0.47735515	0.22204983	0.72486484	0.47902623	0.23575075	0.7248534	0.47568408	0.2083489
4.263642155558257e-09	0.74142945	0.4642272	0.20389386	0.7436143	0.46349278	0.21753447	0.7392446	0.46496162	0.19025324
4.264488356399047e-09	0.7567244	0.45472303	0.18364191	0.7609661	0.45155126	0.19687292	0.7524827	0.45789486	0.17041089
4.265320353184801e-09	0.769993	0.4492217	0.16213831	0.77609116	0.44369775	0.17463662	0.76389486	0.4547457	0.14964002
4.266148800692973e-09	0.7809331	0.4477024	0.13961954	0.7886838	0.4399507	0.15108135	0.77318245	0.45545405	0.12815773
4.26781715050518e-09	0.7939311	0.45669279	0.09298473	0.804334	0.4450758	0.101543546	0.7835282	0.46830982	0.08442591
4.2686372340595565e-09	0.79496133	0.46670318	0.07051574	0.80632335	0.45360917	0.07732157	0.7835993	0.47979718	0.06370992
4.269461156020056e-09	0.7919997	0.48003143	0.04898276	0.804104	0.4657995	0.053868014	0.7798954	0.4942634	0.04409752
4.270284431091126e-09	0.78491414	0.49614352	0.029042995	0.7975515	0.48115873	0.031894453	0.7722766	0.51112825	0.026191544
4.2710967857987665e-09	0.77394754	0.51423126	0.011390099	0.78691804	0.4989097	0.012165859	0.76097697	0.5295527	0.010614337
4.272746415545838e-09	0.7407598	0.55530673	-0.016672246	0.7538208	0.54062223	-0.020144373	0.7276987	0.56999123	-0.013200124
4.273573702431507e-09	0.71962154	0.5769998	-0.026214968	0.7324042	0.563312	-0.03174057	0.706839	0.59068763	-0.020689372
4.274385518087505e-09	0.6967834	0.5984008	-0.032380525	0.7090482	0.5861109	-0.03980693	0.68451864	0.61069053	-0.024954122
4.275186332364469e-09	0.6728671	0.61928904	-0.035262488	0.684356	0.60874856	-0.044405084	0.6613781	0.6298295	-0.026119899
4.276810532643546e-09	0.62272537	0.6599593	-0.031280857	0.6317606	0.65385807	-0.043233316	0.61369014	0.66606057	-0.019328404
4.277620301318955e-09	0.5981446	0.67899704	-0.024489274	0.60551786	0.6754039	-0.037424497	0.5907713	0.6825902	-0.011554053
4.278420680907494e-09	0.57487285	0.6967896	-0.014790165	0.5803479	0.6957578	-0.028380627	0.56939775	0.6978215	-0.0011997044
4.2792128067429834e-09	0.55334103	0.7132422	-0.0024364877	0.5567314	0.71474415	-0.016345518	0.54995054	0.7117402	0.011472544
4.280007798727619e-09	0.5336836	0.72842336	0.012508566	0.5348331	0.7323894	-0.001379784	0.53253406	0.7244574	0.026396912
4.2816388023105915e-09	0.5011212	0.7544666	0.050053757	0.49749598	0.7629546	0.037263304	0.50474656	0.74597865	0.06284421
